"province_code","year","month","influenza","influenza_death","dengue_fever","dengue_fever_death","diarrhoea","diarrhoea_death","date1"
27,2006,8,4059.0,0.0,0.0,0.0,856.0,0.0,2006-08-15
27,2006,8,4059.0,0.0,0.0,0.0,856.0,0.0,2006-08-15
27,2006,8,4059.0,0.0,0.0,0.0,856.0,0.0,2006-08-15
27,2006,8,4059.0,0.0,0.0,0.0,856.0,0.0,2006-08-15
27,2006,8,4059.0,0.0,0.0,0.0,856.0,0.0,2006-08-15
27,2006,8,4059.0,0.0,0.0,0.0,856.0,0.0,2006-08-15
27,2006,8,4059.0,0.0,0.0,0.0,856.0,0.0,2006-08-15
3,2006,8,1219.0,0.0,0.0,0.0,344.0,0.0,2006-08-15
3,2006,8,1219.0,0.0,0.0,0.0,344.0,0.0,2006-08-15
3,2006,8,1219.0,0.0,0.0,0.0,344.0,0.0,2006-08-15
3,2006,8,1219.0,0.0,0.0,0.0,344.0,0.0,2006-08-15
29,2006,8,4388.0,0.0,0.0,0.0,1701.0,0.0,2006-08-15
29,2006,8,4388.0,0.0,0.0,0.0,1701.0,0.0,2006-08-15
25,2006,8,4178.0,0.0,0.0,0.0,1879.0,0.0,2006-08-15
16,2006,8,1768.0,0.0,0.0,0.0,794.0,0.0,2006-08-15
16,2006,8,1768.0,0.0,0.0,0.0,794.0,0.0,2006-08-15
16,2006,8,1768.0,0.0,0.0,0.0,794.0,0.0,2006-08-15
16,2006,8,1768.0,0.0,0.0,0.0,794.0,0.0,2006-08-15
7,2006,8,1189.0,0.0,0.0,0.0,362.0,0.0,2006-08-15
7,2006,8,1189.0,0.0,0.0,0.0,362.0,0.0,2006-08-15
31,2006,8,558.0,0.0,0.0,0.0,135.0,1.0,2006-08-15
31,2006,8,558.0,0.0,0.0,0.0,135.0,1.0,2006-08-15
24,2006,8,1029.0,0.0,0.0,0.0,342.0,0.0,2006-08-15
24,2006,8,1029.0,0.0,0.0,0.0,342.0,0.0,2006-08-15
4,2006,8,3385.0,0.0,0.0,0.0,581.0,0.0,2006-08-15
4,2006,8,3385.0,0.0,0.0,0.0,581.0,0.0,2006-08-15
20,2006,8,3421.0,0.0,5.0,0.0,1158.0,0.0,2006-08-15
13,2006,8,1671.0,0.0,0.0,0.0,2042.0,0.0,2006-08-15
13,2006,8,1671.0,0.0,0.0,0.0,2042.0,0.0,2006-08-15
13,2006,8,1671.0,0.0,0.0,0.0,2042.0,0.0,2006-08-15
9,2006,8,2275.0,0.0,0.0,0.0,815.0,0.0,2006-08-15
9,2006,8,2275.0,0.0,0.0,0.0,815.0,0.0,2006-08-15
9,2006,8,2275.0,0.0,0.0,0.0,815.0,0.0,2006-08-15
8,2006,8,3150.0,0.0,0.0,0.0,1234.0,0.0,2006-08-15
8,2006,8,3150.0,0.0,0.0,0.0,1234.0,0.0,2006-08-15
8,2006,8,3150.0,0.0,0.0,0.0,1234.0,0.0,2006-08-15
11,2006,8,1160.0,0.0,0.0,0.0,704.0,0.0,2006-08-15
11,2006,8,1160.0,0.0,0.0,0.0,704.0,0.0,2006-08-15
11,2006,8,1160.0,0.0,0.0,0.0,704.0,0.0,2006-08-15
6,2006,8,1004.0,0.0,0.0,0.0,605.0,0.0,2006-08-15
15,2006,8,1046.0,0.0,144.0,0.0,5806.0,0.0,2006-08-15
15,2006,8,1046.0,0.0,144.0,0.0,5806.0,0.0,2006-08-15
15,2006,8,1046.0,0.0,144.0,0.0,5806.0,0.0,2006-08-15
10,2006,8,4250.0,0.0,0.0,0.0,1340.0,0.0,2006-08-15
